German abbreviation,German,English,anton notes,,,,
a,alt,old,,,,,
aaO.,am angegebenen Orte,ibidem; in the place cited,,,,,
abg.,altbulgarisch,Old Bulgarian,,,,,
Abl.,Ablativ,ablative,,,,,
abl(aut).,ablautend,ablauting,,,,,
abr(et).,altbretonisch,Old Bretonic,,,,,
acorn.,altcornisch,Old Cornish,,,,,
acymr.,altcymrisch,Old Welsh,,,,,
ačech.,altčechisch,Old Czech,,,,,
abrit.,altbritisch,Old British,,,,,
afries.,altfriesisch,Old Frisian,,,,,
afrz.,altfranzösisch,Old French,,,,,
ags.,angelsächsisch,Anglo-Saxon,,,,,
ahd.,althochdeutsch,Old High German,,,,,
ai.,altindisch,Sanskrit,,,,,
air.,altirisch,Old Irish,,,,,
aisl.,altisländisch,Old Icelandic,,,,,
Akk.,Akkusativ,accusative,,,,,
alat.,altlateinisch,Old Latin,,,,,
alb.,albanisch,Albanian,,,,,
an.,altnordisch,Old Norse,,,,,
äol.,äolisch,Aeolic,,,,,
Aor.,Aorist,aorist,,,,,
ap(ers.),altpersisch,Old Persian,,,,,
apr(euss).,altpreußisch,Old Prussian,,,,,
arm.,armenisch,Armenian,,,,,
as.,altsächsisch,Old Saxon,,,,,
aschwed.,altschwedisch,Old Swedish,,,,,
att.,attisch,Attic,,,,,
av.,avestisch,Avestan,,,,,
Avest.,avestisch,Avestan,added,,,,
bret.,bretonisch,Breton,,,,,
bsl.,baltoslavisch,Balto-Slavic,,,,,
bulg.,bulgarisch,Bulgarian,,,,,
čech.,čechisch,Czech,,,,,
D(at).,Dativ,dative,,,,,
dän.,dänisch,Danish,,,,,
Dem(in).,Deminutiv,diminutive,,,,,
Dhātup.,Dhātupāṭha,Dhātupāṭha,,,,,
dial.,dialektisch,dialectal,,,,,
dor.,dorisch,Doric,,,,,
drav(id).,dravidisch,Dravidian,,,,,
Du.,Dual,dual,,,,,
ed.,ediert,edited,,,,,
el.,elisch,Elean,,,,,
EN.,Eigenname,name,,,,,
engl.,englisch,English,,,,,
f.,feminin(um),feminine,,,,,
FlN.,Flußname (put this in the notes),river name,,,,,
FlN,Flußname (put this in the notes),river name,added,,,,
gäl.,gälisch,Gaelic,,,,,
gall.,gallisch,Gallish,,,,,
geg.,gegisch,Gheg,,,,,
Gen.,Genitiv,genitive,,,,,
germ(an.),germanisch,Germanic,,,,,
GN.,Göttername,divine name,,,,,
got.,gotisch,Gothic,,,,,
gr.,griechisch,Greek,,,,,
hitt.,hittitisch,Hittite,,,,,
holl.,holländisch,Dutch,,,,,
hom.,homerisch,Homeric,,,,,
idg.,indogermanisch,Indo-European,,,,,
ill(yr).,illyrisch,Illyrian,,,,,
Instr.,Instrumental,instrumental,,,,,
